账本,分类,子分类,货币,金额,账户,记录人,日期,时间,标签,备注,收支
家庭账本,购物,,CNY,10,平安银行信用卡(4976),ivy,2025-12-30,19:33,Ivy,鞋柜,退款
家庭账本,餐饮,晚餐,CNY,29.4,平安银行信用卡(4976),ivy,2025-12-30,18:57,Ivy,,支出
家庭账本,购物,,CNY,12,Ivy的微信钱包,ivy,2025-12-30,13:38,Ivy,寄打卡神器给莹欢,支出
家庭账本,交通,车位费,CNY,900,Ivy的微信钱包,ivy,2025-12-30,09:10,Public,,支出
家庭账本,购物,,CNY,36.79,平安银行信用卡(4976),ivy,2025-12-29,23:08,Ivy,妊娠油,支出
家庭账本,餐饮,买菜原料,CNY,45.33,平安银行信用卡(4976),ivy,2025-12-29,23:08,Ivy,咖喱,支出
家庭账本,购物,,CNY,8.22,平安银行信用卡(4976),ivy,2025-12-29,23:08,Ivy,保鲜袋,支出
家庭账本,购物,,CNY,62.84,平安银行信用卡(4976),ivy,2025-12-29,23:08,Ivy,孕妇黑丝,支出
家庭账本,购物,,CNY,78.62,平安银行信用卡(4976),ivy,2025-12-29,23:07,Ivy,睡衣,支出
家庭账本,红包,,CNY,500,Ivy的微信钱包,ivy,2025-12-29,15:52,Ivy,团建费,收入
家庭账本,医疗,检查,CNY,27,Ivy的微信钱包,ivy,2025-12-29,13:29,Ivy,,支出
家庭账本,医疗,检查,CNY,204.3,Ivy的微信钱包,ivy,2025-12-29,11:10,Ivy,,支出
家庭账本,医疗,门诊挂号,CNY,11.7,Ivy的微信钱包,ivy,2025-12-29,10:12,Ivy,,支出
家庭账本,餐饮,早餐,CNY,2.2,Ivy的微信钱包,ivy,2025-12-29,09:19,Ivy,,支出
家庭账本,医疗,门诊挂号,CNY,11.7,Ivy的微信钱包,ivy,2025-12-29,08:58,Ivy,,支出
家庭账本,医疗,检查,CNY,27,Ivy的微信钱包,ivy,2025-12-29,08:51,Ivy,,支出
家庭账本,医疗,门诊挂号,CNY,11.7,Ivy的微信钱包,ivy,2025-12-29,07:27,Ivy,,支出
家庭账本,餐饮,买菜原料,CNY,7.24,Ivy的微信钱包,ivy,2025-12-28,18:55,Ivy,九层塔,支出
家庭账本,娱乐,洗浴足浴,CNY,80,Ivy的微信钱包,ivy,2025-12-28,17:09,Public,郑远元踢脚,支出
家庭账本,购物,,CNY,14.8,平安银行信用卡(4976),ivy,2025-12-27,22:02,Ivy,马桶塞子,支出
家庭账本,购物,,CNY,8.62,平安银行信用卡(4976),ivy,2025-12-27,21:39,Public,洗洁精,支出
家庭账本,购物,,CNY,17.22,平安银行信用卡(4976),ivy,2025-12-27,19:58,Alex,鞋拔子,支出
家庭账本,购物,,CNY,38.5,平安银行信用卡(4976),ivy,2025-12-27,19:57,Public,水,支出
家庭账本,购物,,CNY,43.71,平安银行信用卡(4976),ivy,2025-12-27,16:18,Ivy,拖把,支出
家庭账本,餐饮,午餐,CNY,0.07,Ivy的微信钱包,ivy,2025-12-27,13:45,Ivy,,退款
家庭账本,居家,住宿房租,CNY,3840,招商银行(5877),ivy,2025-12-27,09:22,Public,建设卡无法转账，只能存钱卡代付，下月补充进去,支出
家庭账本,餐饮,午餐,CNY,43.75,Ivy的微信钱包,ivy,2025-12-27,01:45,Ivy,,支出
家庭账本,餐饮,夜宵,CNY,51,Ivy的微信钱包,ivy,2025-12-26,21:42,Public,,支出
家庭账本,餐饮,,CNY,4,Ivy的微信钱包,ivy,2025-12-26,21:37,Ivy,烤肠,支出
家庭账本,交通,打车,CNY,14.5,Ivy的微信钱包,ivy,2025-12-26,21:19,Ivy,,支出
家庭账本,收入平账,,CNY,11632.08,工商银行(9128),ivy,2025-12-26,09:23,Ivy,工资,收入
家庭账本,餐饮,晚餐,CNY,52.6,平安银行信用卡(4976),ivy,2025-12-25,09:22,Ivy,晚上吃火锅,支出
家庭账本,餐饮,晚餐,CNY,51.04,Ivy的微信钱包,ivy,2025-12-24,20:02,Ivy,,支出
家庭账本,餐饮,晚餐,CNY,34.32,平安银行信用卡(4976),AlexLeon,2025-12-24,20:02,,美团点餐-Miss Poke 波奇鲜（前滩店）,支出
家庭账本,医疗,门诊挂号,CNY,11.7,Ivy的微信钱包,ivy,2025-12-23,13:29,Ivy,,退款
家庭账本,医疗,门诊挂号,CNY,11.7,Ivy的微信钱包,ivy,2025-12-23,11:22,Ivy,,支出
家庭账本,餐饮,晚餐,CNY,20,Ivy的微信钱包,ivy,2025-12-22,20:13,Ivy,,支出
家庭账本,交通,火车,CNY,15,Ivy的微信钱包,ivy,2025-12-22,09:34,Ivy,花桥到上海,支出
家庭账本,餐饮,零食,CNY,5.2,Ivy的微信钱包,ivy,2025-12-21,21:34,Ivy,,支出
家庭账本,餐饮,饮料 ,CNY,5.9,Ivy的微信钱包,ivy,2025-12-21,21:18,Public,芬达,支出
家庭账本,购物,,CNY,250.2,平安银行信用卡(4976),ivy,2025-12-21,21:01,Ivy,裙子,支出
